freq	phase(S(3,1))
2.70270540000000015E9	8.20940682076428807E1
2.70771041000000068E9	8.15168621462571963E1
2.71271541999999988E9	8.09405427108779563E1
2.71772043000000085E9	8.03651103828940805E1
2.72272544000000005E9	7.97905653268013548E1
2.72773045000000014E9	7.92169074033081966E1
2.73273545999999978E9	7.86441361823707119E1
2.73774046999999987E9	7.80722509561740896E1
2.74274547999999996E9	7.75012507519880778E1
2.74775048999999960E9	7.69311343449515483E1
2.75275550000000013E9	7.63619002706550720E1
2.75776051000000066E9	7.57935468377226140E1
2.76276551999999986E9	7.52260721400856092E1
2.76777053000000040E9	7.46594740691775360E1
2.77277554000000004E9	7.40937503259587338E1
2.77778055000000013E9	7.35288984326509620E1
2.78278555999999977E9	7.29649157443895024E1
2.78779056999999941E9	7.24017994605660675E1
2.79279558000000083E9	7.18395466360539547E1
2.79780059000000003E9	7.12781541920511774E1
2.80280560000000012E9	7.07176189268963373E1
2.80781061000000021E9	7.01579375264150507E1
2.81281561999999985E9	6.95991065741996096E1
2.81782062999999994E9	6.90411225615355750E1
2.82282564000000002E9	6.84839818971361858E1
2.82783064999999967E9	6.79276809165500861E1
2.83283565999999976E9	6.73722158913463165E1
2.83784066999999984E9	6.68175830380514668E1
2.84284568000000037E9	6.62637785267777257E1
2.84785069000000046E9	6.57107984895839081E1
2.85285570000000011E9	6.51586390286324235E1
2.85786070999999975E9	6.46072962239576487E1
2.86286571999999984E9	6.40567661411100353E1
2.86787072999999948E9	6.35070448383812458E1
2.87287573999999957E9	6.29581283738705721E1
2.87788075000000054E9	6.24100128122561948E1
2.88288576000000019E9	6.18626942312491757E1
2.88789077000000027E9	6.13161687278475576E1
2.89289577999999992E9	6.07704324242980842E1
2.89790079000000045E9	6.02254814737620503E1
2.90290580000000009E9	5.96813120658020857E1
2.90791081000000018E9	5.91379204315653517E1
2.91291581999999938E9	5.85953028486885863E1
2.91792082999999991E9	5.80534556459852613E1
2.92292584000000000E9	5.75123752079014050E1
2.92793085000000008E9	5.69720579786786807E1
2.93293585999999973E9	5.64325004663235941E1
2.93794086999999982E9	5.58936992463126092E1
2.94294588000000035E9	5.53556509650578477E1
2.94795088999999955E9	5.48183523431652908E1
2.95295590000000008E9	5.42818001784766402E1
2.95796091000000061E9	5.37459913488272356E1
2.96296592000000025E9	5.32109228146798863E1
2.96797093000000034E9	5.26765916214436114E1
2.97297593999999998E9	5.21429949016804262E1
2.97798095000000007E9	5.16101298770374051E1
2.98298596000000016E9	5.10779938599827510E1
2.98799096999999936E9	5.05465842554175815E1
2.99299597999999989E9	5.00158985619988261E1
2.99800098999999909E9	4.94859343733054935E1
3.00300600000000006E9	4.89566893789055602E1
3.00801101000000015E9	4.84281613650855736E1
3.01301601999999979E9	4.79003482155719951E1
3.01802102999999988E9	4.73732479119290062E1
3.02302603999999997E9	4.68468585339341281E1
3.02803105000000006E9	4.63211782596684518E1
3.03303606000000059E9	4.57962053655703638E1
3.03804106999999979E9	4.52719382262046288E1
3.04304608000000032E9	4.47483753595505895E1
3.04805109000000041E9	4.42255152443519783E1
3.05305610000000005E9	4.37033565928110246E1
3.05806110999999969E9	4.31818981676355484E1
3.06306612000000023E9	4.26611388267918112E1
3.06807113000000031E9	4.21410775224974810E1
3.07307613999999951E9	4.16217133001177952E1
3.07808115000000004E9	4.11030452969497695E1
