freq	dB(S(4,1))
2.21721943000000010E9	-2.96572940781486905E1
2.22222444000000019E9	-2.94823197779095603E1
2.22722944999999983E9	-2.91928168025697676E1
2.23223445999999992E9	-2.88112123268774800E1
2.23723946999999956E9	-2.83619558657269133E1
2.24224448000000010E9	-2.78677808697617646E1
2.24724948999999974E9	-2.73476718550192377E1
2.25225450000000027E9	-2.68162988435306016E1
2.25725951000000036E9	-2.62843425916726314E1
2.26226451999999956E9	-2.57591987264963951E1
2.26726953000000053E9	-2.52457424130106967E1
2.27227454000000018E9	-2.47470032464338052E1
2.27727955000000026E9	-2.42647034204374812E1
2.28228455999999991E9	-2.37996626457708960E1
2.28728956999999955E9	-2.33520920732412263E1
2.29229458000000008E9	-2.29218027122589341E1
2.29729958999999928E9	-2.25083508321294135E1
2.30230460000000026E9	-2.21111381365593562E1
2.30730961000000034E9	-2.17294800094880936E1
2.31231461999999999E9	-2.13626514562262360E1
2.31731963000000007E9	-2.10099175737307364E1
2.32232464000000016E9	-2.06705533470214275E1
2.32732965000000025E9	-2.03438561174666743E1
2.33233465999999989E9	-2.00291530470995482E1
2.33733967000000042E9	-1.97258051901566733E1
2.34234468000000007E9	-1.94332092868383977E1
2.34734969000000016E9	-1.91507980503416464E1
2.35235470000000024E9	-1.88780394785948902E1
2.35735970999999989E9	-1.86144355567151720E1
2.36236471999999997E9	-1.83595206002812583E1
2.36736972999999962E9	-1.81128594096812567E1
2.37237474000000015E9	-1.78740453499345753E1
2.37737975000000024E9	-1.76426984314081947E1
2.38238475999999988E9	-1.74184634403035621E1
2.38738977000000041E9	-1.72010081489546929E1
2.39239478000000005E9	-1.69900216232595014E1
2.39739979000000014E9	-1.67852126360091236E1
2.40240480000000023E9	-1.65863081887780939E1
2.40740980999999987E9	-1.63930521414216868E1
2.41241481999999996E9	-1.62052039456086483E1
2.41741982999999960E9	-1.60225374773611895E1
2.42242484000000013E9	-1.58448399627449987E1
2.42742985000000022E9	-1.56719109904189180E1
2.43243485999999987E9	-1.55035616047636449E1
2.43743986999999995E9	-1.53396134733096279E1
2.44244488000000004E9	-1.51798981225384000E1
2.44744988999999968E9	-1.50242562363788656E1
2.45245489999999977E9	-1.48725370121275380E1
2.45745990999999986E9	-1.47245975688712427E1
2.46246491999999995E9	-1.45803024038682438E1
2.46746993000000048E9	-1.44395228927559582E1
2.47247494000000012E9	-1.43021368297288687E1
2.47747995000000021E9	-1.41680280042186313E1
2.48248495999999985E9	-1.40370858109318397E1
2.48748996999999950E9	-1.39092048902715870E1
2.49249498000000003E9	-1.37842847965931981E1
2.49749998999999967E9	-1.36622296918537600E1
2.50250500000000020E9	-1.35429480624833309E1
2.50751001000000029E9	-1.34263524575240689E1
2.51251501999999993E9	-1.33123592462192364E1
2.51752003000000091E9	-1.32008883934117249E1
2.52252504000000011E9	-1.30918632513007305E1
2.52753004999999975E9	-1.29852103661736251E1
2.53253505999999984E9	-1.28808592989030823E1
2.53754006999999993E9	-1.27787424580601883E1
2.54254508000000001E9	-1.26787949446838666E1
2.54755008999999966E9	-1.25809544077173219E1
2.55255510000000019E9	-1.24851609092775084E1
2.55756011000000028E9	-1.23913567990111129E1
2.56256512000000036E9	-1.22994865968093814E1
2.56757012999999956E9	-1.22094968832223505E1
2.57257514000000009E9	-1.21213361970084610E1
