#
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
1.9660000000000	-15.668208041164
1.9680000000000	-15.763516205203
1.9700000000000	-15.859620356407
1.9720000000000	-15.956533492411
1.9740000000000	-16.054268799273
1.9760000000000	-16.152839642774
1.9780000000000	-16.252259558341
1.9800000000000	-16.352542239419
1.9820000000000	-16.453701524159
1.9840000000000	-16.555751380218
1.9860000000000	-16.658705887481
1.9880000000000	-16.762579218491
1.9900000000000	-16.867385616337
1.9920000000000	-16.973139369738
1.9940000000000	-17.079854785027
1.9960000000000	-17.187546154713
1.9980000000000	-17.296227722270
2.0000000000000	-17.405913642746
2.0020000000000	-17.516617938774
2.0040000000000	-17.628354451507
2.0060000000000	-17.741136785947
2.0080000000000	-17.854978250096
2.0100000000000	-17.969891787302
2.0120000000000	-18.085889901101
2.0140000000000	-18.202984571793
2.0160000000000	-18.321187163916
2.0180000000000	-18.440508323719
2.0200000000000	-18.560957865602
2.0220000000000	-18.682544646470
2.0240000000000	-18.805276426782
2.0260000000000	-18.929159717005
2.0280000000000	-19.054199608074
2.0300000000000	-19.180399584322
2.0320000000000	-19.307761317230
2.0340000000000	-19.436284438233
2.0360000000000	-19.565966288654
2.0380000000000	-19.696801644752
2.0400000000000	-19.828782415692
2.0420000000000	-19.961897312174
2.0440000000000	-20.096131483301
2.0460000000000	-20.231466119201
2.0480000000000	-20.367878016828
2.0500000000000	-20.505339106354
2.0520000000000	-20.643815935546
2.0540000000000	-20.783269109614
2.0560000000000	-20.923652684160
2.0580000000000	-21.064913509094
2.0600000000000	-21.206990521772
2.0620000000000	-21.349813988118
2.0640000000000	-21.493304691219
2.0660000000000	-21.637373067790
2.0680000000000	-21.781918294136
2.0700000000000	-21.926827324724
2.0720000000000	-22.071973888362
2.0740000000000	-22.217217449279
2.0760000000000	-22.362402143106
2.0780000000000	-22.507355701066
2.0800000000000	-22.651888379405
2.0820000000000	-22.795791915489
2.0840000000000	-22.938838536824
2.0860000000000	-23.080780054666
2.0880000000000	-23.221347079620
2.0900000000000	-23.360248402660
2.0920000000000	-23.497170590958
2.0940000000000	-23.631777853588
2.0960000000000	-23.763712237031
2.0980000000000	-23.892594213972
2.1000000000000	-24.018023730463
2.1020000000000	-24.139581775436
2.1040000000000	-24.256832531982
2.1060000000000	-24.369326160982
2.1080000000000	-24.476602254030
2.1100000000000	-24.578193973455
2.1120000000000	-24.673632872736
2.1140000000000	-24.762454360787
2.1160000000000	-24.844203739523
2.1180000000000	-24.918442707177
2.1200000000000	-24.984756182315
2.1220000000000	-25.042759268045
2.1240000000000	-25.092104145724
2.1260000000000	-25.132486665854
2.1280000000000	-25.163652393725
2.1300000000000	-25.185401871234
2.1320000000000	-25.197594875252
