level	number	indep(index, 1)	PAE_contours[0, 0, ::]
3.63773793018164948E1	4	66	6.17560793822903609E-1 / 9.40894181450583034E1
3.63773793018164948E1	4	67	6.17574899533821942E-1 / 9.40911400057347080E1
3.63773793018164948E1	4	68	6.17588896354242323E-1 / 9.40928769123258846E1
3.63773793018164948E1	4	69	6.17602786535906922E-1 / 9.40946280877350993E1
3.63773793018164948E1	4	70	6.17616572329653746E-1 / 9.40963927549252510E1
3.63773793018164948E1	4	71	6.17630255985395848E-1 / 9.40981701369169876E1
3.63773793018164948E1	4	72	6.17643839752103219E-1 / 9.40999594567870012E1
3.63773793018164948E1	4	73	6.17657325877783325E-1 / 9.41017599376662517E1
3.63773793018164948E1	4	74	6.17670716609466197E-1 / 9.41035708027382967E1
3.63773793018164948E1	4	75	6.17684014193186925E-1 / 9.41053912752377997E1
3.63773793018164948E1	4	76	6.17697220873971986E-1 / 9.41072205784488247E1
3.63773793018164948E1	4	77	6.17710338895825384E-1 / 9.41090579357034329E1
3.63773793018164948E1	4	78	6.17723370501716040E-1 / 9.41109025703802793E1
3.63773793018164948E1	4	79	6.17736317933567403E-1 / 9.41127537059031383E1
3.63773793018164948E1	4	80	6.17749183432246873E-1 / 9.41146105657397136E1
3.63773793018164948E1	4	81	6.17761969237556130E-1 / 9.41164723734002351E1
3.63773793018164948E1	4	82	6.17774677588224552E-1 / 9.41183383524363748E1
3.63773793018164948E1	4	83	6.17787310721902472E-1 / 9.41202077264400216E1
3.63773793018164948E1	4	84	6.17799870875153978E-1 / 9.41220797190422154E1
3.63773793018164948E1	4	85	6.17812360283454520E-1 / 9.41239535539121519E1
3.63773793018164948E1	4	86	6.17824781181186644E-1 / 9.41258284547560820E1
3.63773793018164948E1	4	87	6.17837135801637949E-1 / 9.41277036453165294E1
3.63773793018164948E1	4	88	6.17849426376999844E-1 / 9.41295783493713678E1
3.63773793018164948E1	4	89	6.17861655138367993E-1 / 9.41314517907329673E1
3.63773793018164948E1	4	90	6.17873824315744180E-1 / 9.41333231932474845E1
3.63773793018164948E1	4	91	6.17885936138037195E-1 / 9.41351917807942229E1
3.63773793018164948E1	4	92	6.17897992833067367E-1 / 9.41370567772848332E1
3.63773793018164948E1	4	93	6.17909996627571179E-1 / 9.41389174066629053E1
3.63773793018164948E1	4	94	6.17921949747206956E-1 / 9.41407728929032750E1
3.63773793018164948E1	4	95	6.17933854416561790E-1 / 9.41426224600116868E1
3.63773793018164948E1	4	96	6.17945712859159002E-1 / 9.41444653320243141E1
3.63773793018164948E1	4	97	6.17957527297468534E-1 / 9.41463007330073864E1
3.63773793018164948E1	4	98	6.17969299952916629E-1 / 9.41481278870569049E1

level	number	indep(index, 1)	PAE_contours[0, 4, ::]
3.63773793018164948E1	5	0	6.14148887650192421E-1 / 9.42901794435654139E1
3.63773793018164948E1	5	1	6.14152538170914397E-1 / 9.42875807839633495E1
3.63773793018164948E1	5	2	6.14156793589294558E-1 / 9.42849601635939649E1
3.63773793018164948E1	5	3	6.14161661083979826E-1 / 9.42823174457911684E1
3.63773793018164948E1	5	4	6.14167147834168503E-1 / 9.42796524941478431E1
3.63773793018164948E1	5	5	6.14173258380440590E-1 / 9.42769653389199291E1
3.63773793018164948E1	5	6	6.14179986706563241E-1 / 9.42742566761234002E1
3.63773793018164948E1	5	7	6.14187324155822356E-1 / 9.42715273681418253E1
3.63773793018164948E1	5	8	6.14195262069998194E-1 / 9.42687782772886962E1
3.63773793018164948E1	5	9	6.14203791789333131E-1 / 9.42660102657958454E1
3.63773793018164948E1	5	10	6.14212904652500491E-1 / 9.42632241958024686E1
3.63773793018164948E1	5	11	6.14222591996575140E-1 / 9.42604209293442530E1
3.63773793018164948E1	5	12	6.14232845157004448E-1 / 9.42576013283426484E1
3.63773793018164948E1	5	13	6.14243655467582617E-1 / 9.42547662545946174E1
3.63773793018164948E1	5	14	6.14255014260424836E-1 / 9.42519165697624217E1
3.63773793018164948E1	5	15	6.14266912865942416E-1 / 9.42490531353637806E1
3.63773793018164948E1	5	16	6.14279342612821466E-1 / 9.42461768127622079E1
3.63773793018164948E1	5	17	6.14292294828001051E-1 / 9.42432884631575796E1
3.63773793018164948E1	5	18	6.14305760836653469E-1 / 9.42403889475771095E1
3.63773793018164948E1	5	19	6.14319731962165161E-1 / 9.42374791268663081E1
3.63773793018164948E1	5	20	6.14334199526120539E-1 / 9.42345598616804025E1
3.63773793018164948E1	5	21	6.14349154848286094E-1 / 9.42316320124758633E1
3.63773793018164948E1	5	22	6.14364589246595649E-1 / 9.42286964395023396E1
3.63773793018164948E1	5	23	6.14380494037138103E-1 / 9.42257540027946305E1
3.63773793018164948E1	5	24	6.14396860534145262E-1 / 9.42228055621651173E1
3.63773793018164948E1	5	25	6.14413680049982336E-1 / 9.42198519771962495E1
3.63773793018164948E1	5	26	6.14430943895138615E-1 / 9.42168941072334221E1
3.63773793018164948E1	5	27	6.14448643378220893E-1 / 9.42139328113779584E1
3.63773793018164948E1	5	28	6.14466769805946722E-1 / 9.42109689484806090E1
3.63773793018164948E1	5	29	6.14485314483140233E-1 / 9.42080033771349079E1
3.63773793018164948E1	5	30	6.14504268712728763E-1 / 9.42050369556710621E1
3.63773793018164948E1	5	31	6.14523623795741347E-1 / 9.42020705421500892E1
3.63773793018164948E1	5	32	6.14543371031307739E-1 / 9.41991049943579384E1
3.63773793018164948E1	5	33	6.14563501716659832E-1 / 9.41961411698002493E1
