level	number	indep(index, 1)	GainTransducerContours[0, 0, ::]
1.33468600367363432E1	3	65	4.44957770367484340E-1 / 1.09683842386273289E2
1.33468600367363432E1	3	66	4.45121371135141430E-1 / 1.09691249872887164E2
1.33468600367363432E1	3	67	4.45282458462915987E-1 / 1.09698813021632047E2
1.33468600367363432E1	3	68	4.45440965739534001E-1 / 1.09706535760471513E2
1.33468600367363432E1	3	69	4.45596826380821742E-1 / 1.09714422021866542E2
1.33468600367363432E1	3	70	4.45749973830598734E-1 / 1.09722475743238612E2
1.33468600367363432E1	3	71	4.45900341561595148E-1 / 1.09730700867443831E2
1.33468600367363432E1	3	72	4.46047863076390794E-1 / 1.09739101343258438E2
1.33468600367363432E1	3	73	4.46192471908380472E-1 / 1.09747681125875363E2
1.33468600367363432E1	3	74	4.46334101622761548E-1 / 1.09756444177411794E2
1.33468600367363432E1	3	75	4.46472685817547355E-1 / 1.09765394467428412E2
1.33468600367363432E1	3	76	4.46608158124604682E-1 / 1.09774535973459808E2
1.33468600367363432E1	3	77	4.46740452210716121E-1 / 1.09783872681556360E2
1.33468600367363432E1	3	78	4.46869501778667466E-1 / 1.09793408586837593E2
1.33468600367363432E1	3	79	4.46995240568362018E-1 / 1.09803147694057235E2
1.33468600367363432E1	3	80	4.47117602357958255E-1 / 1.09813094018179935E2
1.33468600367363432E1	3	81	4.47236520965036277E-1 / 1.09823251584969794E2
1.33468600367363432E1	3	82	4.47351930247788321E-1 / 1.09833624431590793E2
1.33468600367363432E1	3	83	4.47463764106239203E-1 / 1.09844216607219236E2
1.33468600367363432E1	3	84	4.47571956483489330E-1 / 1.09855032173668388E2
1.33468600367363432E1	3	85	4.47676441366990474E-1 / 1.09866075206025293E2
1.33468600367363432E1	3	86	4.47777152789845445E-1 / 1.09877349793300039E2
1.33468600367363432E1	3	87	4.47874024832138407E-1 / 1.09888860039087577E2
1.33468600367363432E1	3	88	4.47966991622292809E-1 / 1.09900610062242277E2
1.33468600367363432E1	3	89	4.48055987338459882E-1 / 1.09912603997565039E2
1.33468600367363432E1	3	90	4.48140946209934743E-1 / 1.09924845996503917E2
1.33468600367363432E1	3	91	4.48221802518604751E-1 / 1.09937340227867297E2
1.33468600367363432E1	3	92	4.48298490600427613E-1 / 1.09950090878551032E2
1.33468600367363432E1	3	93	4.48370944846940134E-1 / 1.09963102154278625E2
1.33468600367363432E1	3	94	4.48439099706800093E-1 / 1.09976378280355425E2
1.33468600367363432E1	3	95	4.48502889687359030E-1 / 1.09989923502436682E2
1.33468600367363432E1	3	96	4.48562249356268783E-1 / 1.10003742087309608E2
1.33468600367363432E1	3	97	4.48617113343120444E-1 / 1.10017838323690031E2
1.33468600367363432E1	3	98	4.48667416341119285E-1 / 1.10032216523033566E2
level	number	indep(index, 1)	GainTransducerContours[0, 3, ::]
1.33468600367363432E1	4	0	4.19253125368860680E-1 / 1.09401527503571794E2
1.33468600367363432E1	4	1	4.19342561888318155E-1 / 1.09387288567560814E2
1.33468600367363432E1	4	2	4.19432736115937388E-1 / 1.09373439345953072E2
1.33468600367363432E1	4	3	4.19523637617128475E-1 / 1.09359986561882350E2
1.33468600367363432E1	4	4	4.19615255969137113E-1 / 1.09346936927334815E2
1.33468600367363432E1	4	5	4.19707580764545085E-1 / 1.09334297143141201E2
1.33468600367363432E1	4	6	4.19800601614824931E-1 / 1.09322073898972461E2
1.33468600367363432E1	4	7	4.19894310738471432E-1 / 1.09310271907804224E2
1.33468600367363432E1	4	8	4.19988710741109461E-1 / 1.09298888013409234E2
1.33468600367363432E1	4	9	4.20083806902808110E-1 / 1.09287917094144871E2
1.33468600367363432E1	4	10	4.20179604596949297E-1 / 1.09277354029543661E2
1.33468600367363432E1	4	11	4.20276109287610034E-1 / 1.09267193700346144E2
1.33468600367363432E1	4	12	4.20373326526976143E-1 / 1.09257430988534443E2
1.33468600367363432E1	4	13	4.20471261952790076E-1 / 1.09248060777365796E2
1.33468600367363432E1	4	14	4.20569921285829018E-1 / 1.09239077951406660E2
1.33468600367363432E1	4	15	4.20669310327417456E-1 / 1.09230477396567127E2
1.33468600367363432E1	4	16	4.20769434956970478E-1 / 1.09222254000135788E2
1.33468600367363432E1	4	17	4.20870301129571001E-1 / 1.09214402650815279E2
1.33468600367363432E1	4	18	4.20971914873578168E-1 / 1.09206918238758166E2
1.33468600367363432E1	4	19	4.21074282288269242E-1 / 1.09199795655603671E2
1.33468600367363432E1	4	20	4.21177409541512748E-1 / 1.09193029794514906E2
1.33468600367363432E1	4	21	4.21281302867475649E-1 / 1.09186615550217025E2
1.33468600367363432E1	4	22	4.21385968564360791E-1 / 1.09180547819035900E2
1.33468600367363432E1	4	23	4.21491412992179093E-1 / 1.09174821498937935E2
1.33468600367363432E1	4	24	4.21597642570552189E-1 / 1.09169431489570301E2
1.33468600367363432E1	4	25	4.21704663776548738E-1 / 1.09164372692302547E2
1.33468600367363432E1	4	26	4.21812483142552441E-1 / 1.09159640010268699E2
1.33468600367363432E1	4	27	4.21921107254163186E-1 / 1.09155228348410804E2
1.33468600367363432E1	4	28	4.22030542748129278E-1 / 1.09151132613522939E2
1.33468600367363432E1	4	29	4.22140796310313604E-1 / 1.09147347714296750E2
1.33468600367363432E1	4	30	4.22251874673691674E-1 / 1.09143868561367774E2
1.33468600367363432E1	4	31	4.22363784616380666E-1 / 1.09140690067362955E2
1.33468600367363432E1	4	32	4.22476532959703466E-1 / 1.09137807146949362E2
1.33468600367363432E1	4	33	4.22590126566282720E-1 / 1.09135214716883877E2
1.33468600367363432E1	4	34	4.22704572338168383E-1 / 1.09132907696064319E2
1.33468600367363432E1	4	35	4.22819877214997941E-1 / 1.09130881005581548E2
1.33468600367363432E1	4	36	4.22936048172187462E-1 / 1.09129129568773076E2
1.33468600367363432E1	4	37	4.23053092219157101E-1 / 1.09127648311277547E2
1.33468600367363432E1	4	38	4.23171016397587341E-1 / 1.09126432161090903E2
1.33468600367363432E1	4	39	4.23289827779707828E-1 / 1.09125476048623682E2
1.33468600367363432E1	4	40	4.23409533466619781E-1 / 1.09124774906759514E2
1.33468600367363432E1	4	41	4.23530140586648418E-1 / 1.09124323670915158E2
1.33468600367363432E1	4	42	4.23651656293730383E-1 / 1.09124117279101673E2
1.33468600367363432E1	4	43	4.23774087765831542E-1 / 1.09124150671987286E2
1.33468600367363432E1	4	44	4.23897442203397290E-1 / 1.09124418792961153E2
1.33468600367363432E1	4	45	4.24021726827836520E-1 / 1.09124916588199072E2
1.33468600367363432E1	4	46	4.24146948880036057E-1 / 1.09125639006730113E2
1.33468600367363432E1	4	47	4.24273115618908836E-1 / 1.09126581000504741E2
1.33468600367363432E1	4	48	4.24400234319973624E-1 / 1.09127737524464874E2
1.33468600367363432E1	4	49	4.24528312273966435E-1 / 1.09129103536614469E2
1.33468600367363432E1	4	50	4.24657356785486240E-1 / 1.09130673998092353E2
1.33468600367363432E1	4	51	4.24787375171670156E-1 / 1.09132443873246077E2
1.33468600367363432E1	4	52	4.24918374760903284E-1 / 1.09134408129707117E2
1.33468600367363432E1	4	53	4.25050362891559086E-1 / 1.09136561738467952E2
1.33468600367363432E1	4	54	4.25183346910772730E-1 / 1.09138899673960177E2
1.33468600367363432E1	4	55	4.25317334173246842E-1 / 1.09141416914134171E2
1.33468600367363432E1	4	56	4.25452332040088343E-1 / 1.09144108440540299E2
1.33468600367363432E1	4	57	4.25588347877678697E-1 / 1.09146969238411518E2
1.33468600367363432E1	4	58	4.25725389056575665E-1 / 1.09149994296747277E2
1.33468600367363432E1	4	59	4.25863462950446703E-1 / 1.09153178608399171E2
1.33468600367363432E1	4	60	4.26002576935036004E-1 / 1.09156517170157552E2
1.33468600367363432E1	4	61	4.26142738387160946E-1 / 1.09160004982840220E2
1.33468600367363432E1	4	62	4.26283954683743982E-1 / 1.09163637051381768E2
1.33468600367363432E1	4	63	4.26426233200873295E-1 / 1.09167408384925069E2
1.33468600367363432E1	4	64	4.26569581312897927E-1 / 1.09171313996913577E2
1.33468600367363432E1	4	65	4.26714006391552836E-1 / 1.09175348905185521E2
1.33468600367363432E1	4	66	4.26859515805118228E-1 / 1.09179508132069047E2
1.33468600367363432E1	4	67	4.27006116917608214E-1 / 1.09183786704479169E2
1.33468600367363432E1	4	68	4.27153817087993293E-1 / 1.09188179654015616E2
1.33468600367363432E1	4	69	4.27302623669453929E-1 / 1.09192682017062626E2
1.33468600367363432E1	4	70	4.27452544008665658E-1 / 1.09197288834889439E2
1.33468600367363432E1	4	71	4.27603585445116874E-1 / 1.09201995153752707E2
1.33468600367363432E1	4	72	4.27755755310457442E-1 / 1.09206796024999808E2
1.33468600367363432E1	4	73	4.27909060927879370E-1 / 1.09211686505173744E2
1.33468600367363432E1	4	74	4.28063509611529636E-1 / 1.09216661656119163E2
1.33468600367363432E1	4	75	4.28219108665953208E-1 / 1.09221716545089809E2
1.33468600367363432E1	4	76	4.28375865385570087E-1 / 1.09226846244856968E2
1.33468600367363432E1	4	77	4.28533787054180682E-1 / 1.09232045833819669E2
1.33468600367363432E1	4	78	4.28692880944505994E-1 / 1.09237310396115506E2
1.33468600367363432E1	4	79	4.28853154317756768E-1 / 1.09242635021733148E2
1.33468600367363432E1	4	80	4.29014614423234875E-1 / 1.09248014806625915E2
1.33468600367363432E1	4	81	4.29177268497966846E-1 / 1.09253444852826331E2
1.33468600367363432E1	4	82	4.29341123766367083E-1 / 1.09258920268562276E2
1.33468600367363432E1	4	83	4.29506187439933829E-1 / 1.09264436168373869E2
1.33468600367363432E1	4	84	4.29672466716975254E-1 / 1.09269987673231639E2
1.33468600367363432E1	4	85	4.29839968782367610E-1 / 1.09275569910655923E2
1.33468600367363432E1	4	86	4.30008700807342947E-1 / 1.09281178014837232E2
1.33468600367363432E1	4	87	4.30178669949309889E-1 / 1.09286807126757646E2
1.33468600367363432E1	4	88	4.30349883351703255E-1 / 1.09292452394313466E2
1.33468600367363432E1	4	89	4.30522348143866385E-1 / 1.09298108972438635E2
1.33468600367363432E1	4	90	4.30696071440962580E-1 / 1.09303772023229340E2
1.33468600367363432E1	4	91	4.30871060343918799E-1 / 1.09309436716069719E2
1.33468600367363432E1	4	92	4.31047321939398564E-1 / 1.09315098227758267E2
1.33468600367363432E1	4	93	4.31224863299806671E-1 / 1.09320751742635336E2
1.33468600367363432E1	4	94	4.31403691483323470E-1 / 1.09326392452711674E2
1.33468600367363432E1	4	95	4.31583813533970329E-1 / 1.09332015557797635E2
1.33468600367363432E1	4	96	4.31765236481704751E-1 / 1.09337616265633608E2
1.33468600367363432E1	4	97	4.31947967342545880E-1 / 1.09343189792020934E2
1.33468600367363432E1	4	98	4.32132013118730729E-1 / 1.09348731360954021E2
level	number	indep(index, 1)	GainTransducerContours[0, 4, ::]
1.33468600367363432E1	5	0	4.15593868825051516E-1 / 1.11561356026535829E2
1.33468600367363432E1	5	1	4.15568020471838029E-1 / 1.11542911864201977E2
1.33468600367363432E1	5	2	4.15543602929667166E-1 / 1.11524192143183121E2
1.33468600367363432E1	5	3	4.15520632630372244E-1 / 1.11505193963006266E2
1.33468600367363432E1	5	4	4.15499126063372426E-1 / 1.11485914431164401E2
1.33468600367363432E1	5	5	4.15479096274121495E-1 / 1.11466352338269670E2
1.33468600367363432E1	5	6	4.15460542323810955E-1 / 1.11446513182338025E2
1.33468600367363432E1	5	7	4.15443459737552878E-1 / 1.11426404142677571E2
1.33468600367363432E1	5	8	4.15427843996212598E-1 / 1.11406032404501976E2
1.33468600367363432E1	5	9	4.15413690533988245E-1 / 1.11385405158640460E2
1.33468600367363432E1	5	10	4.15400994736056273E-1 / 1.11364529601247453E2
1.33468600367363432E1	5	11	4.15389751936280227E-1 / 1.11343412933513797E2
1.33468600367363432E1	5	12	4.15379957414986123E-1 / 1.11322062361378071E2
