time	ts(Vload)
5.46875000000000089E-10	-1.64447331300040522E-1
5.50426136363636331E-10	-1.70692379201793498E-1
5.53977272727272663E-10	-1.76548389651620408E-1
5.57528409090908994E-10	-1.82005073115915605E-1
5.61079545454545325E-10	-1.87051059513013285E-1
5.64630681818181746E-10	-1.91673828194896689E-1
5.68181818181818254E-10	-1.95859842864468447E-1
5.71732954545454586E-10	-1.99594883831728054E-1
5.75284090909090828E-10	-2.02864547959167396E-1
5.78835227272727160E-10	-2.05654866776524603E-1
5.82386363636363757E-10	-2.07952978180639336E-1
5.85937500000000000E-10	-2.09747779078772822E-1
5.89488636363636509E-10	-2.11030486721880139E-1
5.93039772727272663E-10	-2.11795045724953290E-1
5.96590909090909083E-10	-2.12038335148862744E-1
6.00142045454545325E-10	-2.11760153658074168E-1
6.03693181818181834E-10	-2.10962987866624641E-1
6.07244318181818254E-10	-2.09651596129284945E-1
6.10795454545454586E-10	-2.07832463647132837E-1
6.14346590909090828E-10	-2.05513201578761029E-1
6.17897727272727160E-10	-2.02701970410652921E-1
6.21448863636363757E-10	-1.99407004841607138E-1
6.25000000000000000E-10	-1.95636303974904968E-1
6.28551136363636331E-10	-1.91397528230071257E-1
6.32102272727272663E-10	-1.86698115909964302E-1
6.35653409090909172E-10	-1.81545601552160241E-1
6.39204545454545414E-10	-1.75948089263507557E-1
6.42755681818181657E-10	-1.69914811259510712E-1
6.46306818181818166E-10	-1.63456688174033116E-1
6.49857954545454586E-10	-1.56586805533021489E-1
6.53409090909090828E-10	-1.49320730714171868E-1
6.56960227272727337E-10	-1.41676615675435791E-1
6.60511363636363491E-10	-1.33675060077453556E-1
6.64062500000000089E-10	-1.25338743238053829E-1
6.67613636363636509E-10	-1.16691866984716808E-1
6.71164772727272840E-10	-1.07759480144547592E-1
6.74715909090909172E-10	-9.85667749165138041E-2
6.78267045454545414E-10	-8.91384526551465051E-2
6.81818181818181834E-10	-7.94982502291094839E-2
6.85369318181818166E-10	-6.96686985406745229E-2
6.88920454545454675E-10	-5.96711543001557487E-2
6.92471590909090828E-10	-4.95261086282792196E-2
